,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup2run6,6724.231000000029,241.6630000000046,5.560000000000001,0.11,147.145,0,163.99,332.263,0,0,643.0379999999423,643.7580000000307,0,2,4225.5,8.100000000093132,smallMeta,
setup2run7,6535.997999999905,234.7680000000027,5.697,0.096,148.45299999999997,0,168.558,305.60400000000004,0,0,622.4199999999255,623.2590000000782,0,2,4120.100000000093,7.899999999906868,smallMeta,
setup2run8,6565.566000000108,235.49300000000562,6.090999999999999,0.073,144.76100000000002,0,169.75,308.34,0,0,606.5860000001267,607.4130000001751,0,2,4130.09999999986,8.600000000093132,smallMeta,
setup2run9,6591.208000000101,235.28500000000446,5.673000000000006,0.061,149.647,0,170.53300000000002,305.164,0,0,603.599000000162,604.3330000001006,0,2,4130.199999999953,8.699999999953434,smallMeta,
setup2run10,9019.175999999978,246.9700000000062,4.119999999999997,0.105,293.084,0,301.93600000000004,356.31800000000004,0,0,6362.546000000089,6362.814000000013,0,2,4279.40000000014,10.399999999906868,smallMeta,
setup2run11,6619.770000000019,245.7600000000039,6.391000000000001,0.082,147.64199999999997,0,165.54500000000002,292.967,0,0,675.2259999997914,676.179999999702,0,2,4233.699999999721,9,smallMeta,
setup2run12,6467.249000000302,231.26800000000466,5.245999999999993,0.132,149.67799999999994,0,168.548,315.88800000000003,0,0,652.3760000001639,653.0310000004247,0,2,4071.7999999998137,8.299999999813735,smallMeta,
setup2run13,6483.094000000041,235.6440000000039,5.301000000000009,0.124,146.205,0,166.36800000000002,289.37,0,0,578.1720000002533,578.9150000000373,0,2,3972.9000000003725,8.799999999813735,smallMeta,
setup2run14,6409.618999999948,228.05500000000373,5.777999999999997,0.132,147.24899999999994,0,166.60500000000002,341.89099999999996,0,0,606.3590000001714,607.0590000003576,0,2,3908.600000000559,11.199999999254942,smallMeta,
setup2run15,6613.843999999575,234.39100000000366,5.307000000000003,0.078,152.68100000000004,0,162.87800000000001,208.834,0,0,632.1679999995977,632.8619999997318,0,2,4155.100000000559,8.100000000558794,smallMeta,
setup2run16,6524.9000000003725,236.47100000000378,5.767000000000004,0.058,147.21900000000005,0,165.674,313.556,0,0,637.436999999918,652.6150000002235,0,2,4023.699999999255,8.599999999627471,smallMeta,
setup2run17,6555.328999999911,229.07200000000398,5.408000000000004,0.1,146.82299999999998,0,169.188,305.193,0,0,661.875,662.4060000004247,0,2,4011.2999999998137,8.799999999813735,smallMeta,
